id,category_id,active_ingredient,generic_name,brand_name,product_type,maker,device_type,device_name,dose,administration_route,frequency,indication,self_injection,needle_exchange_required,source,last_verified
34,1,インスリン リスプロ,インスリン製剤（超速効型）,インスリンリスプロBS注,ジェネリック,サノフィ等,プレフィルドペン,ソロスターHU等,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
35,1,インスリン リスプロ,インスリン製剤（超速効型）,インスリンリスプロBS注,ジェネリック,サノフィ等,ペン型カートリッジ,カートHU等,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
36,1,インスリン リスプロ,インスリン製剤（超速効型）,インスリンリスプロBS注,ジェネリック,サノフィ等,バイアル,,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
37,1,インスリン ヒト,インスリン製剤（速効型）,ノボリンR注,先発品,ノボ ノルディスク,プレフィルドペン,フレックスペン,100単位/mL,皮下注/静注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
38,1,インスリン ヒト,インスリン製剤（速効型）,ヒューマリンR注,先発品,日本イーライリリー,プレフィルドペン,ミリオペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
39,1,インスリン ヒト,インスリン製剤（速効型）,ヒューマリンR注,先発品,日本イーライリリー,ペン型カートリッジ,カート,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
40,1,インスリン ヒト,インスリン製剤（速効型）,ヒューマリンR注,先発品,日本イーライリリー,バイアル,,100単位/mL,皮下注/静注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
41,1,インスリン ヒト,インスリン製剤（中間型）,ノボリンN注,先発品,ノボ ノルディスク,プレフィルドペン,フレックスペン,100単位/mL,皮下注,毎日,2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
42,1,インスリン ヒト,インスリン製剤（中間型）,ヒューマリンN注,先発品,日本イーライリリー,プレフィルドペン,ミリオペン,100単位/mL,皮下注,毎日,2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
43,1,インスリン ヒト,インスリン製剤（中間型）,ヒューマリンN注,先発品,日本イーライリリー,ペン型カートリッジ,カート,100単位/mL,皮下注,毎日,2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
44,1,インスリン ヒト,インスリン製剤（中間型）,ヒューマリンN注,先発品,日本イーライリリー,バイアル,,100単位/mL,皮下注,毎日,2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
45,1,インスリン アスパルト,インスリン製剤（混合型）,ノボラピッド注30ミックス,先発品,ノボ ノルディスク,プレフィルドペン,フレックスペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
46,1,インスリン アスパルト,インスリン製剤（混合型）,ノボラピッド注30ミックス,先発品,ノボ ノルディスク,ペン型カートリッジ,ペンフィル,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
47,1,インスリン アスパルト,インスリン製剤（混合型）,ノボラピッド注50ミックス,先発品,ノボ ノルディスク,プレフィルドペン,フレックスペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
48,1,インスリン リスプロ,インスリン製剤（混合型）,ヒューマログミックス25注,先発品,日本イーライリリー,プレフィルドペン,ミリオペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
49,1,インスリン リスプロ,インスリン製剤（混合型）,ヒューマログミックス25注,先発品,日本イーライリリー,ペン型カートリッジ,カート,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
50,1,インスリン リスプロ,インスリン製剤（混合型）,ヒューマログミックス50注,先発品,日本イーライリリー,プレフィルドペン,ミリオペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
51,1,インスリン リスプロ,インスリン製剤（混合型）,ヒューマログミックス50注,先発品,日本イーライリリー,ペン型カートリッジ,カート,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
52,1,インスリン ヒト,インスリン製剤（混合型）,ノボリン30R注,先発品,ノボ ノルディスク,プレフィルドペン,フレックスペン,100単位/mL,皮下注,毎日,2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
53,1,インスリン ヒト,インスリン製剤（混合型）,ヒューマリン3/7注,先発品,日本イーライリリー,プレフィルドペン,ミリオペン,100単位/mL,皮下注,毎日,2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
54,1,インスリン ヒト,インスリン製剤（混合型）,ヒューマリン3/7注,先発品,日本イーライリリー,ペン型カートリッジ,カート,100単位/mL,皮下注,毎日,2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
55,1,インスリン ヒト,インスリン製剤（混合型）,ヒューマリン3/7注,先発品,日本イーライリリー,バイアル,,100単位/mL,皮下注,毎日,2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
56,1,インスリン デグルデク,インスリン製剤（持効型溶解）,トレシーバ注,先発品,ノボ ノルディスク,プレフィルドペン,フレックスタッチ,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
57,1,インスリン デグルデク,インスリン製剤（持効型溶解）,トレシーバ注,先発品,ノボ ノルディスク,ペン型カートリッジ,ペンフィル,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
58,1,インスリン グラルギン,インスリン製剤（持効型溶解）,ランタス注,先発品,サノフィ,プレフィルドペン,ソロスター,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
59,1,インスリン グラルギン,インスリン製剤（持効型溶解）,ランタス注,先発品,サノフィ,ペン型カートリッジ,カート,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
60,1,インスリン グラルギン,インスリン製剤（持効型溶解）,ランタス注,先発品,サノフィ,バイアル,,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
61,1,インスリン グラルギン,インスリン製剤（持効型溶解）,ランタスXR注,先発品,サノフィ,プレフィルドペン,ソロスター,300単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
62,1,インスリン デテミル,インスリン製剤（持効型溶解）,レベミル注,先発品,ノボ ノルディスク,プレフィルドペン,フレックスペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
63,1,インスリン デテミル,インスリン製剤（持効型溶解）,レベミル注,先発品,ノボ ノルディスク,ペン型カートリッジ,ペンフィル,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
64,1,インスリン イコデク,インスリン製剤（週1回型）,アウィクリ注,先発品,ノボ ノルディスク,プレフィルドペン,フレックスタッチ,700単位/mL,皮下注,週1回,2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
65,1,インスリン グラルギン,インスリン製剤（持効型溶解）,インスリングラルギンBS注,ジェネリック,日本イーライリリー,プレフィルドペン,ミリオペン「リリー」,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
66,1,インスリン グラルギン,インスリン製剤（持効型溶解）,インスリングラルギンBS注,ジェネリック,日本イーライリリー,ペン型カートリッジ,カート「リリー」,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
67,1,インスリン グラルギン,インスリン製剤（持効型溶解）,インスリングラルギンBS注,ジェネリック,富士フイルム富山化学,プレフィルドペン,キット「FFP」,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
68,1,インスリン デグルデク・アスパルト,インスリン製剤（配合溶解）,ライゾデグ配合注,先発品,ノボ ノルディスク,プレフィルドペン,フレックスタッチ,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,必要,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
